tipo_de_cultivo,ph,tipo_de_suelo,humedad,temperatura,precipitacion,horas_de_sol,temporada
soja,6.7,rocoso,16.47,10.0,202.15,14.7,invierno
uva,6.15,arenoso,33.02,27.0,254.07,0.2,verano
trigo,6.31,arcilloso,75.68,28.0,97.3,8.8,otoño
trigo,6.58,arenoso,51.94,24.0,202.95,11.9,primavera
maiz,6.2,limoso,20.49,13.0,178.27,7.8,verano
trigo,6.42,limoso,87.78,11.0,180.95,1.4,otoño
naranjas,6.66,limoso,87.96,24.0,204.76,15.6,primavera
trigo,6.75,rocoso,87.06,35.0,172.61,8.3,otoño
soja,5.95,arenoso,23.88,38.0,128.72,9.8,verano
soja,6.73,limoso,45.12,4.0,82.78,3.8,otoño
lentejas,6.29,arcilloso,98.5,6.0,230.57,7.7,invierno
soja,6.06,limoso,77.2,38.0,67.88,6.9,primavera
lentejas,6.26,limoso,2.72,29.0,207.71,1.2,otoño
soja,6.78,limoso,6.52,35.0,70.0,1.7,verano
naranjas,6.29,rocoso,46.39,8.0,187.6,13.4,primavera
zanahoria,6.13,arcilloso,90.92,24.0,224.12,3.8,invierno
lentejas,6.43,arenoso,53.87,28.0,65.61,3.1,primavera
arroz,6.04,arcilloso,49.78,27.0,17.98,8.1,invierno
uva,5.88,arenoso,10.55,16.0,39.29,12.3,primavera
maiz,5.93,rocoso,65.68,1.0,181.8,1.0,otoño
soja,5.93,rocoso,82.21,23.0,254.83,9.2,otoño
trigo,5.95,rocoso,38.04,10.0,13.5,1.9,verano
zanahoria,5.94,rocoso,77.56,18.0,220.25,0.6,invierno
soja,6.44,arenoso,96.45,38.0,102.4,0.8,verano
trigo,5.98,limoso,20.38,16.0,143.56,13.3,otoño
uva,6.15,arenoso,52.33,34.0,278.66,1.9,invierno
uva,6.7,arcilloso,28.71,8.0,99.59,0.7,verano
uva,6.27,rocoso,79.29,27.0,139.6,7.0,verano
trigo,6.47,rocoso,57.76,39.0,4.1,13.5,verano
soja,5.97,arcilloso,63.46,4.0,24.48,4.2,verano
uva,5.99,arenoso,79.79,0.0,77.58,6.7,verano
naranjas,5.84,limoso,39.6,17.0,8.36,0.6,invierno
lentejas,5.97,limoso,91.51,4.0,189.41,7.2,verano
trigo,6.08,arcilloso,53.3,30.0,127.92,9.2,invierno
trigo,5.98,limoso,15.8,37.0,164.44,9.1,verano
soja,5.89,arenoso,69.59,17.0,52.39,5.3,otoño
trigo,5.92,arenoso,79.33,10.0,88.78,5.0,otoño
trigo,6.26,arcilloso,31.68,17.0,199.15,1.7,verano
uva,6.01,arenoso,85.72,29.0,289.59,5.9,primavera
soja,6.16,rocoso,90.61,0.0,15.13,1.6,otoño
uva,6.3,arcilloso,27.69,24.0,267.12,12.3,invierno
lentejas,6.49,arenoso,98.35,25.0,173.06,15.5,verano
zanahoria,5.84,arcilloso,14.07,26.0,169.18,15.5,invierno
lentejas,6.6,limoso,20.2,10.0,150.08,13.8,primavera
zanahoria,6.43,arenoso,18.42,29.0,20.82,9.6,verano
uva,5.88,rocoso,89.4,4.0,26.96,11.2,otoño
lentejas,6.67,arenoso,65.43,8.0,180.27,4.6,invierno
soja,6.72,arcilloso,15.21,35.0,102.29,10.1,otoño
maiz,5.86,arcilloso,44.03,30.0,275.18,7.3,otoño
uva,6.08,arenoso,61.53,1.0,121.98,7.7,verano
zanahoria,6.61,rocoso,8.35,10.0,42.98,12.1,invierno
naranjas,6.55,rocoso,88.24,9.0,214.42,4.5,primavera
zanahoria,5.98,rocoso,80.36,11.0,88.01,5.1,otoño
naranjas,6.01,arcilloso,50.52,10.0,157.64,14.8,verano
trigo,6.17,arenoso,96.71,3.0,209.35,0.9,verano
lentejas,6.28,limoso,41.78,18.0,270.08,7.8,primavera
naranjas,6.42,arcilloso,98.41,29.0,237.66,14.6,verano
zanahoria,6.17,rocoso,66.79,24.0,202.91,9.8,otoño
trigo,6.26,arenoso,63.47,27.0,203.89,8.7,verano
maiz,6.55,rocoso,16.6,3.0,283.78,4.0,invierno
soja,5.84,limoso,88.19,38.0,88.75,5.5,invierno
soja,6.05,rocoso,42.75,34.0,0.33,13.6,otoño
soja,6.51,rocoso,16.22,32.0,81.59,8.9,invierno
naranjas,6.7,limoso,1.26,33.0,65.37,8.2,primavera
maiz,6.31,arenoso,55.98,37.0,198.55,1.6,verano
naranjas,6.33,arcilloso,52.74,22.0,190.11,0.3,otoño
lentejas,5.91,arenoso,71.94,8.0,178.04,15.4,primavera
naranjas,6.25,limoso,89.03,25.0,4.87,6.0,verano
maiz,6.33,rocoso,7.94,30.0,218.63,9.7,primavera
maiz,6.04,arenoso,73.15,30.0,97.06,1.3,otoño
lentejas,6.07,arcilloso,18.74,21.0,199.52,10.9,otoño
maiz,6.18,limoso,85.82,3.0,166.97,14.9,primavera
zanahoria,5.82,arenoso,81.91,15.0,102.82,9.2,verano
maiz,6.12,arcilloso,54.08,37.0,40.37,2.0,invierno
soja,6.01,limoso,71.02,23.0,28.33,9.3,invierno
zanahoria,6.13,arcilloso,31.44,22.0,249.46,12.3,primavera
zanahoria,5.92,limoso,47.12,11.0,275.52,6.5,otoño
lentejas,6.69,rocoso,82.16,15.0,194.94,14.1,verano
arroz,6.39,arenoso,45.93,36.0,31.03,10.4,verano
arroz,6.48,arcilloso,35.78,27.0,120.61,14.4,otoño
maiz,6.59,limoso,49.42,31.0,218.68,10.0,invierno
zanahoria,6.3,arcilloso,82.82,18.0,233.95,2.1,verano
arroz,5.89,arcilloso,33.52,25.0,35.47,5.0,primavera
arroz,6.34,arenoso,17.38,10.0,0.01,3.2,invierno
maiz,6.39,rocoso,71.2,28.0,213.64,14.5,primavera
arroz,6.55,arcilloso,82.6,17.0,106.98,12.2,invierno
naranjas,6.23,limoso,10.06,18.0,76.34,10.8,otoño
trigo,5.93,limoso,23.99,26.0,3.87,4.8,primavera
lentejas,6.08,rocoso,14.2,37.0,162.09,2.9,primavera
trigo,6.16,limoso,34.79,3.0,255.35,12.1,otoño
maiz,6.45,rocoso,45.04,33.0,287.29,7.6,primavera
soja,6.37,limoso,74.88,12.0,169.72,3.6,invierno
lentejas,6.16,arenoso,65.11,18.0,154.34,9.9,verano
maiz,6.79,arcilloso,62.09,1.0,25.52,0.6,verano
zanahoria,6.41,arenoso,35.24,12.0,164.66,5.2,otoño
soja,6.04,arcilloso,84.14,20.0,113.99,7.5,invierno
trigo,5.9,arcilloso,47.13,2.0,182.14,2.4,primavera
maiz,5.95,arcilloso,97.91,20.0,116.62,15.8,primavera
zanahoria,6.05,arenoso,63.41,37.0,72.09,3.3,verano
lentejas,5.96,arcilloso,12.63,4.0,28.49,2.1,primavera
lentejas,5.99,arenoso,67.62,31.0,94.48,3.3,verano
uva,6.09,rocoso,32.51,16.0,28.99,12.3,otoño
zanahoria,5.97,limoso,68.63,26.0,53.07,6.8,primavera
naranjas,6.7,limoso,6.96,10.0,296.2,9.0,invierno
arroz,5.88,arcilloso,17.49,6.0,133.23,0.3,primavera
soja,6.32,arenoso,85.57,6.0,159.56,0.6,verano
zanahoria,6.21,limoso,22.72,3.0,262.09,7.1,otoño
uva,6.78,arenoso,83.7,7.0,298.67,13.1,verano
arroz,5.91,arenoso,27.93,27.0,174.81,14.2,primavera
arroz,6.2,arcilloso,64.29,35.0,243.74,1.4,verano
maiz,6.77,limoso,69.42,33.0,98.08,8.6,verano
arroz,6.67,arcilloso,51.27,27.0,91.72,14.6,otoño
naranjas,6.62,arcilloso,30.53,4.0,120.81,6.2,invierno
lentejas,6.06,limoso,21.26,12.0,201.75,13.3,primavera
uva,5.97,limoso,3.32,12.0,204.66,2.1,otoño
arroz,6.47,rocoso,30.39,10.0,94.57,15.0,invierno
maiz,6.73,rocoso,65.32,21.0,39.96,12.0,verano
naranjas,6.36,arenoso,93.83,21.0,189.72,15.1,invierno
trigo,6.37,limoso,87.12,14.0,38.5,10.8,verano
lentejas,6.08,rocoso,76.61,14.0,173.55,5.8,verano
lentejas,6.57,arenoso,78.84,33.0,208.03,15.0,otoño
uva,5.99,arenoso,66.5,32.0,210.18,4.4,verano
lentejas,6.12,arenoso,26.03,12.0,226.04,5.3,otoño
arroz,6.23,rocoso,90.72,37.0,261.86,11.2,invierno
maiz,6.31,limoso,67.07,38.0,149.99,12.2,invierno
lentejas,6.04,arcilloso,56.04,13.0,219.07,14.9,verano
lentejas,5.91,arenoso,11.1,14.0,185.75,3.3,otoño
trigo,6.41,rocoso,44.71,20.0,55.99,12.8,verano
trigo,6.09,rocoso,46.04,38.0,7.71,11.8,otoño
soja,6.38,arcilloso,86.46,35.0,85.36,1.0,otoño
naranjas,5.95,arcilloso,54.66,4.0,132.91,6.2,otoño
arroz,6.28,rocoso,38.04,16.0,185.13,4.5,invierno
lentejas,6.33,limoso,97.68,22.0,254.99,4.9,otoño
zanahoria,5.85,arcilloso,11.07,20.0,58.87,15.7,invierno
lentejas,6.14,rocoso,42.25,8.0,37.66,10.3,otoño
maiz,5.93,arcilloso,4.2,34.0,289.04,11.5,invierno
soja,5.86,limoso,73.99,27.0,32.41,15.6,primavera
naranjas,6.79,arenoso,91.81,34.0,143.55,6.0,invierno
zanahoria,6.12,arcilloso,28.0,34.0,175.67,12.8,invierno
soja,6.61,limoso,85.83,30.0,162.41,7.0,verano
uva,6.05,rocoso,29.22,18.0,25.81,13.9,otoño
naranjas,6.48,arcilloso,91.08,24.0,17.11,2.9,primavera
lentejas,6.56,arcilloso,75.4,6.0,31.65,15.2,verano
lentejas,6.4,rocoso,80.49,27.0,175.68,3.5,otoño
naranjas,6.27,arenoso,1.8,7.0,163.3,5.2,primavera
lentejas,6.21,rocoso,96.28,28.0,70.12,12.1,primavera
arroz,6.15,arcilloso,72.67,9.0,191.33,6.3,primavera
naranjas,6.73,rocoso,30.48,5.0,246.02,9.7,otoño
soja,6.63,limoso,82.94,7.0,12.47,7.1,primavera
naranjas,6.77,rocoso,28.15,0.0,149.44,11.9,primavera
zanahoria,5.92,arcilloso,87.28,29.0,206.79,3.7,verano
lentejas,6.53,rocoso,11.26,29.0,75.69,0.9,invierno
arroz,6.74,arenoso,70.37,21.0,92.33,4.8,otoño
arroz,5.98,rocoso,54.07,6.0,184.09,7.6,invierno
uva,5.87,arenoso,9.65,3.0,269.38,2.7,verano
soja,6.54,limoso,24.19,1.0,242.98,5.7,invierno
trigo,6.37,arenoso,1.24,7.0,174.94,6.4,primavera
trigo,6.64,rocoso,46.88,36.0,219.07,0.9,primavera
naranjas,5.94,arcilloso,30.13,10.0,109.45,9.3,otoño
uva,6.6,arenoso,59.84,14.0,192.29,14.1,otoño
maiz,6.0,limoso,29.72,4.0,139.85,2.4,otoño
naranjas,5.96,arenoso,29.99,9.0,56.98,9.6,verano
uva,5.96,arenoso,74.32,21.0,210.52,10.6,otoño
soja,6.61,arenoso,4.81,24.0,166.94,6.7,verano
soja,6.47,limoso,90.29,10.0,107.59,11.2,primavera
soja,6.32,rocoso,85.23,2.0,273.4,6.6,invierno
soja,6.16,arenoso,66.78,16.0,6.28,8.1,primavera
soja,6.68,arenoso,59.32,9.0,94.73,0.1,primavera
uva,6.19,arcilloso,89.23,9.0,17.06,11.1,primavera
uva,6.62,limoso,18.53,38.0,229.96,10.6,otoño
arroz,6.24,arenoso,7.9,25.0,210.63,0.6,otoño
zanahoria,6.18,limoso,23.95,22.0,99.41,5.9,otoño
trigo,6.26,arenoso,79.46,17.0,202.7,15.7,invierno
lentejas,6.1,rocoso,3.47,17.0,118.78,6.7,otoño
soja,6.55,rocoso,58.28,22.0,226.88,8.0,verano
maiz,6.3,arenoso,99.54,28.0,136.26,14.6,primavera
lentejas,6.03,rocoso,85.57,28.0,123.68,11.5,invierno
uva,6.7,arenoso,52.14,7.0,280.42,9.3,invierno
maiz,6.18,rocoso,6.36,20.0,75.26,12.8,invierno
maiz,6.34,arcilloso,83.14,16.0,36.13,13.8,invierno
maiz,6.71,arcilloso,59.9,35.0,175.36,7.3,invierno
arroz,6.42,arcilloso,11.49,25.0,290.8,7.6,verano
uva,5.92,limoso,9.39,21.0,113.35,6.2,primavera
maiz,6.74,limoso,90.96,5.0,18.61,15.5,invierno
soja,6.43,arcilloso,66.92,24.0,101.79,11.2,primavera
naranjas,6.13,limoso,82.93,5.0,151.78,1.3,otoño
maiz,5.94,rocoso,87.9,13.0,48.58,13.8,invierno
arroz,6.59,arenoso,57.18,6.0,197.43,7.7,invierno
lentejas,6.42,arenoso,51.74,28.0,299.32,1.1,primavera
uva,6.33,arenoso,43.04,8.0,135.52,8.8,invierno
zanahoria,6.69,arcilloso,31.69,16.0,106.42,6.7,invierno
arroz,6.59,limoso,43.46,36.0,120.21,14.0,invierno
maiz,5.95,rocoso,77.39,8.0,34.54,3.3,verano
uva,6.11,rocoso,60.19,20.0,264.98,13.2,verano
naranjas,6.05,arcilloso,89.25,17.0,124.45,8.9,invierno
maiz,6.54,rocoso,44.34,1.0,116.18,0.9,verano
arroz,5.83,rocoso,60.71,32.0,197.91,15.5,otoño
trigo,6.37,rocoso,63.13,3.0,132.61,8.2,invierno
soja,6.56,rocoso,59.17,19.0,194.47,4.7,otoño
zanahoria,6.68,limoso,70.26,22.0,18.43,7.5,primavera
lentejas,6.14,rocoso,23.74,25.0,244.12,13.7,otoño
arroz,6.62,arenoso,51.24,28.0,282.15,4.9,primavera
uva,5.91,arcilloso,10.42,10.0,194.63,3.1,invierno
zanahoria,6.65,limoso,38.45,0.0,286.37,2.1,primavera
zanahoria,5.93,rocoso,48.77,29.0,45.43,4.8,primavera
zanahoria,6.2,limoso,65.22,21.0,143.22,12.5,otoño
maiz,6.6,rocoso,95.05,33.0,180.54,7.5,otoño
soja,5.95,arenoso,60.07,33.0,174.52,3.6,otoño
maiz,6.03,arcilloso,74.36,34.0,120.44,2.7,invierno
uva,6.52,rocoso,50.63,19.0,101.43,5.3,invierno
maiz,6.52,rocoso,63.41,13.0,38.05,15.0,otoño
trigo,6.44,rocoso,7.09,32.0,117.52,5.5,invierno
soja,6.49,rocoso,25.44,18.0,48.8,15.8,invierno
soja,6.34,arcilloso,36.19,7.0,220.31,7.8,primavera
uva,6.05,arcilloso,47.25,34.0,62.65,2.9,primavera
lentejas,6.15,arenoso,4.56,35.0,17.57,14.3,otoño
trigo,5.98,arcilloso,14.0,19.0,165.71,7.4,invierno
arroz,6.71,rocoso,27.68,3.0,178.57,11.4,primavera
maiz,6.38,arenoso,97.15,16.0,261.57,15.7,verano
naranjas,6.2,arenoso,33.13,32.0,173.09,0.8,invierno
maiz,6.26,arenoso,48.2,36.0,103.64,1.5,verano
zanahoria,6.75,rocoso,19.61,8.0,240.9,11.5,otoño
maiz,5.95,limoso,61.08,3.0,162.08,4.5,invierno
arroz,6.39,rocoso,28.07,35.0,23.78,2.9,otoño
maiz,6.31,arcilloso,20.7,16.0,169.76,0.6,otoño
trigo,6.41,arcilloso,51.66,22.0,272.41,0.3,otoño
trigo,5.82,rocoso,0.55,39.0,118.89,12.4,otoño
soja,6.67,rocoso,0.77,3.0,88.9,2.2,otoño
uva,6.73,arenoso,21.91,26.0,43.04,7.5,invierno
lentejas,6.37,rocoso,3.67,3.0,45.43,9.7,verano
naranjas,6.5,arenoso,10.8,15.0,129.83,6.9,invierno
zanahoria,6.72,arcilloso,33.89,32.0,178.7,0.4,invierno
maiz,6.51,arenoso,80.26,17.0,24.18,12.5,invierno
maiz,5.95,rocoso,57.2,40.0,281.87,0.2,primavera
arroz,6.38,arcilloso,51.27,22.0,226.54,12.2,primavera
uva,6.41,limoso,29.35,13.0,175.99,14.3,invierno
trigo,6.22,arenoso,93.18,9.0,248.53,6.9,verano
naranjas,6.54,arcilloso,39.7,14.0,24.06,8.6,invierno
soja,6.73,arenoso,8.71,15.0,143.05,7.6,otoño
trigo,6.73,arcilloso,61.71,3.0,189.03,6.2,primavera
zanahoria,6.25,arcilloso,11.38,15.0,248.6,14.2,primavera
uva,5.91,arenoso,34.52,19.0,235.04,14.3,invierno
zanahoria,6.78,limoso,50.74,29.0,83.12,5.4,invierno
lentejas,6.64,arcilloso,87.42,26.0,282.26,9.8,verano
soja,5.92,arcilloso,49.35,28.0,37.3,14.8,verano
lentejas,6.72,arcilloso,70.23,0.0,262.54,15.4,otoño
arroz,6.67,limoso,99.28,9.0,291.28,8.1,invierno
zanahoria,6.32,limoso,13.15,26.0,53.15,7.2,invierno
arroz,6.39,rocoso,27.47,19.0,216.62,4.5,invierno
maiz,6.2,arenoso,39.46,0.0,12.09,15.3,primavera
lentejas,5.85,limoso,42.18,32.0,121.63,2.3,otoño
uva,6.14,arenoso,41.1,31.0,154.88,9.3,verano
zanahoria,6.6,rocoso,90.76,22.0,174.19,4.5,primavera
naranjas,5.8,arenoso,71.4,3.0,280.78,4.5,primavera
soja,6.13,limoso,60.79,31.0,201.68,6.5,primavera
trigo,6.2,arenoso,30.94,23.0,144.38,16.0,primavera
uva,6.34,limoso,82.38,31.0,242.9,0.9,otoño
uva,6.72,arenoso,95.51,30.0,285.16,9.3,invierno
arroz,6.15,limoso,82.12,32.0,6.62,1.3,verano
lentejas,6.15,limoso,0.16,21.0,294.76,2.5,verano
zanahoria,6.54,arenoso,63.64,6.0,25.84,7.0,primavera
zanahoria,6.25,rocoso,5.11,27.0,244.32,8.2,primavera
maiz,6.02,arcilloso,25.76,25.0,84.1,4.1,otoño
maiz,6.25,rocoso,5.95,30.0,39.65,5.1,primavera
soja,5.94,arenoso,60.38,7.0,131.96,1.4,verano
arroz,5.98,rocoso,68.66,8.0,193.19,4.9,verano
uva,6.3,limoso,11.45,36.0,114.29,15.5,invierno
zanahoria,6.22,arcilloso,38.38,30.0,16.37,15.1,invierno
naranjas,6.71,arenoso,45.62,36.0,179.84,5.4,verano
arroz,6.16,arenoso,36.91,30.0,270.72,9.1,verano
soja,6.38,arenoso,12.1,24.0,114.96,14.6,otoño
soja,6.43,arcilloso,41.89,26.0,64.9,0.1,otoño
arroz,5.81,limoso,75.12,36.0,132.77,13.0,verano
soja,6.46,arenoso,7.1,23.0,14.51,15.2,primavera
arroz,5.98,rocoso,8.02,25.0,246.15,1.5,invierno
trigo,6.76,arenoso,35.48,6.0,247.9,2.6,verano
arroz,5.95,arenoso,94.17,19.0,176.4,15.4,primavera
lentejas,6.21,arenoso,66.86,29.0,105.93,8.6,verano
arroz,5.89,arenoso,67.87,11.0,239.94,0.2,invierno
soja,6.8,limoso,36.19,8.0,166.41,4.1,invierno
zanahoria,6.3,rocoso,59.37,13.0,247.78,7.2,otoño
lentejas,6.4,limoso,1.01,10.0,189.44,11.1,otoño
soja,5.87,rocoso,63.61,9.0,235.32,11.7,otoño
maiz,6.55,arenoso,91.33,17.0,179.57,15.9,otoño
maiz,6.01,arcilloso,61.26,36.0,124.24,4.6,invierno
zanahoria,6.7,limoso,87.37,20.0,287.38,8.6,primavera
zanahoria,6.01,arcilloso,72.4,8.0,162.33,8.5,primavera
lentejas,5.99,limoso,12.06,3.0,181.53,6.5,primavera
trigo,5.84,arenoso,90.25,28.0,66.15,2.7,verano
zanahoria,6.27,limoso,6.64,15.0,187.7,15.6,otoño
maiz,6.36,arenoso,53.4,33.0,171.48,13.7,otoño
arroz,5.87,limoso,14.21,26.0,55.45,8.0,invierno
soja,6.58,arenoso,1.17,32.0,17.88,9.7,invierno
maiz,6.25,arenoso,42.2,11.0,181.31,3.6,verano
maiz,6.32,rocoso,29.5,28.0,229.11,8.7,verano
trigo,6.24,arenoso,48.6,11.0,157.02,11.1,primavera
lentejas,6.2,rocoso,57.72,38.0,68.03,8.2,invierno
lentejas,6.36,arenoso,4.37,25.0,199.96,15.8,otoño
uva,5.96,arcilloso,12.3,13.0,24.03,9.8,primavera
trigo,5.98,arenoso,55.86,11.0,132.55,5.9,otoño
arroz,6.66,arcilloso,34.32,8.0,49.01,12.4,primavera
lentejas,6.75,arcilloso,72.92,28.0,55.34,2.7,otoño
soja,6.17,arenoso,65.23,9.0,60.69,6.2,verano
zanahoria,6.07,arcilloso,84.56,24.0,116.01,5.6,primavera
trigo,6.44,rocoso,69.25,11.0,15.35,6.9,otoño
zanahoria,6.21,limoso,42.99,26.0,119.34,12.5,otoño
maiz,5.83,arenoso,67.3,33.0,153.51,7.7,invierno
soja,5.96,arcilloso,27.54,31.0,144.99,12.7,primavera
soja,6.52,arenoso,30.63,30.0,114.84,9.2,otoño
maiz,6.46,rocoso,78.9,8.0,251.74,5.5,invierno
trigo,5.83,arenoso,44.64,4.0,43.6,13.0,otoño
maiz,6.02,arenoso,79.84,28.0,151.71,3.8,primavera
zanahoria,6.03,arcilloso,82.24,15.0,18.61,3.6,verano
uva,6.47,rocoso,85.76,17.0,21.35,8.1,primavera
soja,5.82,limoso,91.66,1.0,172.16,4.2,primavera
naranjas,5.9,limoso,43.1,10.0,169.81,0.1,otoño
naranjas,6.6,arcilloso,31.89,1.0,263.41,10.4,otoño
zanahoria,5.98,arenoso,58.22,35.0,167.36,8.2,primavera
arroz,6.45,arcilloso,37.12,10.0,287.94,7.1,invierno
lentejas,6.04,arcilloso,60.11,22.0,14.61,15.5,invierno
maiz,5.9,arcilloso,70.56,2.0,29.4,9.1,invierno
maiz,6.04,arenoso,68.84,27.0,13.22,13.8,otoño
arroz,6.52,rocoso,37.46,13.0,55.58,2.2,otoño
arroz,6.66,arcilloso,16.69,36.0,162.38,9.1,primavera
zanahoria,6.63,arenoso,43.05,36.0,193.67,13.9,verano
zanahoria,6.2,rocoso,14.26,13.0,13.68,9.3,otoño
arroz,6.47,arcilloso,89.01,36.0,283.79,11.5,primavera
soja,6.0,limoso,34.59,40.0,252.65,6.0,primavera
zanahoria,6.09,rocoso,15.45,33.0,88.98,1.5,verano
uva,6.7,arcilloso,2.54,34.0,23.16,7.3,invierno
zanahoria,5.81,rocoso,64.58,10.0,50.97,6.3,primavera
maiz,5.89,rocoso,63.69,23.0,38.08,13.9,primavera
zanahoria,6.01,rocoso,34.06,3.0,36.99,3.9,primavera
soja,5.83,rocoso,7.17,4.0,155.57,15.5,invierno
arroz,5.98,rocoso,40.96,40.0,73.75,15.3,invierno
maiz,6.38,rocoso,31.12,13.0,107.44,4.0,verano
zanahoria,6.22,arcilloso,67.71,30.0,296.85,5.6,otoño
soja,6.69,limoso,60.58,32.0,205.29,14.3,invierno
uva,6.62,arenoso,36.46,34.0,284.69,15.5,otoño
zanahoria,6.14,rocoso,21.79,40.0,42.77,7.1,otoño
soja,6.06,arenoso,98.8,10.0,114.64,5.1,invierno
uva,6.18,arcilloso,45.4,2.0,166.42,8.4,primavera
arroz,6.39,rocoso,68.83,16.0,23.03,11.0,verano
zanahoria,6.07,limoso,14.06,5.0,1.26,4.4,otoño
uva,6.42,arenoso,48.56,1.0,201.13,11.8,primavera
maiz,6.21,rocoso,2.75,14.0,192.55,0.8,invierno
arroz,6.35,arcilloso,50.55,31.0,123.24,0.8,otoño
maiz,6.24,limoso,96.4,23.0,146.89,6.2,otoño
naranjas,6.09,arenoso,38.42,13.0,124.63,5.7,otoño
trigo,6.75,arenoso,3.9,26.0,7.2,5.1,primavera
zanahoria,6.56,rocoso,3.1,9.0,100.61,7.9,primavera
uva,5.94,limoso,38.8,1.0,53.12,5.1,primavera
